2024-04-10 14:48:51,247 INFO    StreamThr :95205 [internal.py:wandb_internal():86] W&B internal server running at pid: 95205, started at: 2024-04-10 14:48:51.247331
2024-04-10 14:48:51,248 DEBUG   HandlerThread:95205 [handler.py:handle_request():146] handle_request: status
2024-04-10 14:48:51,249 INFO    WriterThread:95205 [datastore.py:open_for_write():87] open: /Users/max/PycharmProjects/latentRL/sac/wandb/offline-run-20240410_144851-fwvmjcel/run-fwvmjcel.wandb
2024-04-10 14:48:51,277 DEBUG   HandlerThread:95205 [handler.py:handle_request():146] handle_request: run_start
2024-04-10 14:48:51,282 DEBUG   HandlerThread:95205 [system_info.py:__init__():26] System info init
2024-04-10 14:48:51,282 DEBUG   HandlerThread:95205 [system_info.py:__init__():41] System info init done
2024-04-10 14:48:51,282 INFO    HandlerThread:95205 [system_monitor.py:start():194] Starting system monitor
2024-04-10 14:48:51,282 INFO    SystemMonitor:95205 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-10 14:48:51,283 INFO    HandlerThread:95205 [system_monitor.py:probe():214] Collecting system info
2024-04-10 14:48:51,283 DEBUG   HandlerThread:95205 [system_info.py:probe():150] Probing system
2024-04-10 14:48:51,284 INFO    SystemMonitor:95205 [interfaces.py:start():190] Started cpu monitoring
2024-04-10 14:48:51,284 INFO    SystemMonitor:95205 [interfaces.py:start():190] Started disk monitoring
2024-04-10 14:48:51,285 INFO    SystemMonitor:95205 [interfaces.py:start():190] Started gpuapple monitoring
2024-04-10 14:48:51,286 INFO    SystemMonitor:95205 [interfaces.py:start():190] Started memory monitoring
2024-04-10 14:48:51,287 INFO    SystemMonitor:95205 [interfaces.py:start():190] Started network monitoring
2024-04-10 14:48:51,291 DEBUG   HandlerThread:95205 [system_info.py:_probe_git():135] Probing git
2024-04-10 14:48:51,314 DEBUG   HandlerThread:95205 [system_info.py:_probe_git():143] Probing git done
2024-04-10 14:48:51,315 DEBUG   HandlerThread:95205 [system_info.py:probe():198] Probing system done
2024-04-10 14:48:51,315 DEBUG   HandlerThread:95205 [system_monitor.py:probe():223] {'os': 'macOS-13.4.1-arm64-arm-64bit', 'python': '3.10.13', 'heartbeatAt': '2024-04-10T12:48:51.283914', 'startedAt': '2024-04-10T12:48:51.229556', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/Users/max/PycharmProjects/latentRL/sac/sac.py', 'codePathLocal': 'sac.py', 'codePath': 'sac/sac.py', 'git': {'remote': 'https://github.com/maxweissenbacher/latentRL.git', 'commit': '867a5946732d11c7070a5be9963f4e27acffaa62'}, 'email': 'max.weissenbacher@proton.me', 'root': '/Users/max/PycharmProjects/latentRL', 'host': 'Maxs-MacBook-Pro.local', 'username': 'max', 'executable': '/Users/max/miniconda3/envs/latentrl/bin/python', 'cpu_count': 8, 'cpu_count_logical': 8, 'cpu_freq': {'current': 3204, 'min': 600, 'max': 3204}, 'cpu_freq_per_core': [{'current': 3204, 'min': 600, 'max': 3204}], 'disk': {'/': {'total': 228.27386474609375, 'used': 11.186325073242188}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 8.0}}
2024-04-10 14:48:51,315 INFO    HandlerThread:95205 [system_monitor.py:probe():224] Finished collecting system info
2024-04-10 14:48:51,315 INFO    HandlerThread:95205 [system_monitor.py:probe():227] Publishing system info
2024-04-10 14:48:51,315 DEBUG   HandlerThread:95205 [system_info.py:_save_conda():207] Saving list of conda packages installed into the current environment
